tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_class	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	318	U1361A	CUBE2208531	318-U1361A-001H-2-W-35	318-U1361A-001H-2-W-35	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	1.85	1.85	2010:02:26:04:40:00.00	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	CUBE2208541	318-U1361A-001H-3-W-90	318-U1361A-001H-3-W-90	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	3.9	3.9	2010:02:26:04:40:00.00	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	CUBE2208551	318-U1361A-001H-4-W-50	318-U1361A-001H-4-W-50	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	5	5	2010:02:26:04:40:00.00	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	CUBE2208561	318-U1361A-001H-5-W-59	318-U1361A-001H-5-W-59	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	6.59	6.59	2010:02:26:04:40:00.00	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	CUBE2208571	318-U1361A-001H-6-W-60	318-U1361A-001H-6-W-60	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	8.1	8.1	2010:02:26:04:40:00.00	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.1	318-U1361A-001H_2A-0.1	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	1.6	1.6	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.15	318-U1361A-001H_2A-0.15	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	1.65	1.65	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.2	318-U1361A-001H_2A-0.2	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	1.7	1.7	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.25	318-U1361A-001H_2A-0.25	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	1.75	1.75	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.3	318-U1361A-001H_2A-0.3	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	1.8	1.8	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.35	318-U1361A-001H_2A-0.35	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	1.85	1.85	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.4	318-U1361A-001H_2A-0.4	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	1.9	1.9	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.45	318-U1361A-001H_2A-0.45	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	1.95	1.95	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.5	318-U1361A-001H_2A-0.5	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2	2	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.55	318-U1361A-001H_2A-0.55	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.05	2.05	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.6	318-U1361A-001H_2A-0.6	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.1	2.1	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.65	318-U1361A-001H_2A-0.65	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.15	2.15	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.7	318-U1361A-001H_2A-0.7	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.2	2.2	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.75	318-U1361A-001H_2A-0.75	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.25	2.25	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.8	318-U1361A-001H_2A-0.8	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.3	2.3	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.85	318-U1361A-001H_2A-0.85	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.35	2.35	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.9	318-U1361A-001H_2A-0.9	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.4	2.4	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-0.95	318-U1361A-001H_2A-0.95	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.45	2.45	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-1	318-U1361A-001H_2A-1	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.5	2.5	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-1.05	318-U1361A-001H_2A-1.05	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.55	2.55	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-1.1	318-U1361A-001H_2A-1.1	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.6	2.6	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-1.15	318-U1361A-001H_2A-1.15	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.65	2.65	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-1.2	318-U1361A-001H_2A-1.2	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.7	2.7	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-1.25	318-U1361A-001H_2A-1.25	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.75	2.75	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-1.3	318-U1361A-001H_2A-1.3	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.8	2.8	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
This study	318	U1361A	nan	318-U1361A-001H_2A-1.35	318-U1361A-001H_2A-1.35	FS-C-DRILL-IODP:SP-SS-C:SO-V	0	Sedimentary	2.85	2.85	nan	0	-64.2457	Silicate-Clay:Silty Clay	143.532	Sediment Layer
